,0
0,10
1,2
2,9
3,0
4,0
5,17
6,1
7,4
8,2
9,3
10,0
11,0
12,4
13,95
14,3
15,11
16,1
17,13
18,0
19,12
20,22
21,8
22,29
23,9
24,0
25,4
26,1
27,6
28,3
29,5
30,1
31,4
32,2
33,1
34,1
35,21
36,6
37,0
38,2
39,3
40,13
41,4
42,22
43,10
44,7
45,5
46,13
47,6
48,0
49,1
50,0
51,5
52,4
53,4
54,1
55,1
56,0
57,2
58,0
59,2
60,0
61,8
62,2
63,14
64,0
65,3
66,0
67,5
68,17
69,3
70,0
71,3
72,4
73,1
74,2
75,15
76,2
77,2
78,1
79,2
80,1
81,1
82,1
83,2
84,2
85,0
86,6
87,3
88,1
89,2
90,0
91,4
92,4
93,4
94,3
95,6
96,1
97,12
98,1
99,0
100,1
101,0
102,2
103,7
104,13
105,7
106,1
107,33
108,2
109,12
110,1
111,0
112,2
113,0
114,3
115,2
116,23
117,5
118,2
119,10
120,2
121,26
122,3
123,1
124,15
125,1
126,1
127,71
128,11
129,5
130,1
131,1
132,10
133,6
134,1
135,0
136,1
137,2
138,2
139,8
140,0
141,2
142,10
143,15
144,197
145,206
146,0
147,1
148,3
149,9
150,0
151,3
152,0
153,4
154,3
155,2
156,7
157,2
158,40
159,0
160,9
161,4
162,1
163,5
164,6
165,4
166,1
167,30
168,1
169,1
170,5
171,13
172,6
173,1
174,4
175,2
176,0
177,5
178,0
179,4
180,2
181,1
182,2
183,20
184,13
185,16
186,2
187,1
188,8
189,4
190,14
191,4
192,2
193,127
194,6
195,3
196,27
197,1
198,1
199,1
200,8
201,1
202,1
203,6
204,8
205,0
206,2
207,1
208,0
209,0
210,43
211,62
212,6
213,8
214,10
215,13
216,0
217,2
218,16
219,1
220,3
221,17
222,3
223,29
224,6
225,3
226,1
227,3
228,21
229,136
230,0
231,1
232,20
233,7
234,2
235,13
236,0
237,0
238,1
239,1
240,2
241,9
242,11
243,17
244,6
245,11
246,18
247,22
248,0
249,5
250,0
251,3
252,0
253,5
254,4
255,2
256,2
257,15
258,2
259,20
260,8
261,2
262,0
263,9
264,6
265,2
266,1
267,3
268,43
269,5
270,15
271,0
272,46
273,6
274,0
275,2
276,0
277,5
278,8
279,9
280,9
281,6
282,2
283,13
284,10
285,3
286,40
287,1
288,6
289,3
290,0
291,20
292,26
293,4
294,1
295,0
296,2
297,6
298,0
299,2
300,2
301,7
302,11
303,391
304,5
305,27
306,0
307,1
308,1
309,4
310,4
311,4
312,0
313,2
314,60
315,1
316,2
317,2
318,3
319,85
320,37
321,0
322,4
323,1
324,4
325,0
326,1
327,0
328,1
329,2
330,5
331,0
332,0
333,1
334,2
335,39
336,27
337,3
338,1
339,16
340,2
341,25
342,53
343,5
344,2
345,8
346,7
347,15
348,1
349,23
350,2
351,0
352,6
353,2
354,22
355,8
356,25
357,12
358,13
359,13
360,5
361,2
362,88
363,0
364,6
365,5
366,2
367,27
368,0
369,0
370,1
371,1
372,1
373,20
374,5
375,46
376,10
377,5
378,31
379,18
380,9
381,3
382,0
383,195
384,5
385,42
386,1
387,3
388,0
389,1
390,1
391,1
392,5
393,0
394,1
395,60
396,5
397,1
398,5
399,4
400,51
401,2
402,2
403,39
404,6
405,2
406,6
407,2
408,2
409,2
410,1
411,5
412,3
413,62
414,1
415,48
416,4
417,88
418,0
419,6
420,1
421,4
422,8
423,14
424,4
425,2
426,3
427,12
428,0
429,7
430,1
431,10
432,0
433,0
434,3
435,6
436,9
437,22
438,20
439,2
440,11
441,4
442,1
443,18
444,62
445,4
446,0
447,5
448,1
449,3
450,1
451,2
452,12
453,22
454,39
455,3
456,21
457,2
458,2
459,4
460,2
461,1
462,0
463,20
464,8
465,3
466,18
467,30
468,110
469,4
470,9
471,11
472,0
473,2
474,0
475,3
476,1
477,3
478,0
479,0
480,3
481,1
482,4
483,20
484,0
485,49
486,19
487,11
488,13
489,5
490,4
491,5
492,2
493,8
494,6
495,9
496,4
497,1
498,31
499,4
500,7
501,9
502,1
503,37
504,8
505,0
506,0
507,15
508,4
509,10
510,0
511,11
512,1
513,0
514,4
515,1
516,1
517,10
518,7
519,3
520,0
521,0
522,3
523,12
524,14
525,2
526,6
527,0
528,20
529,0
530,5
531,34
532,3
533,11
534,3
535,3
536,1
537,2
538,8
539,7
540,7
541,683
542,356
543,18
544,20
545,12
546,7
547,15
548,35
549,3
550,2
551,3
552,8
553,0
554,29
555,3
556,3
557,2
558,5
559,15
560,18
561,10
562,5
563,29
564,28
565,15
566,1
567,1
568,1
569,37
570,2
571,5
572,3
573,3
574,1
575,2
576,14
577,5
578,64
579,0
580,2
581,10
582,9
583,12
584,76
585,8
586,4
587,7
588,2
589,7
590,13
591,1
592,3
593,5
594,1
595,6
596,8
597,5
598,17
599,1
600,6
601,3
602,0
603,1
604,2
605,2
606,1
607,2
608,5
609,3
610,13
611,9
612,19
613,46
614,15
615,18
616,9
617,0
618,1
619,6
620,7
621,12
622,7
623,10
624,9
625,0
626,2
627,4
628,10
629,5
630,2
631,1
632,3
633,4
634,8
635,2
636,8
637,5
638,1
639,0
640,0
641,4
642,1
643,6
644,3
645,34
646,101
647,42
648,44
649,1
650,2
651,0
652,38
653,1
654,1
655,0
656,43
657,3
658,12
659,1
660,3
661,1
662,5
663,3
664,14
665,2
666,3
667,7
668,2
669,7
670,1
671,3
672,12
673,54
674,66
675,21
676,16
677,2
678,18
679,2
680,6
681,12
682,0
683,2
684,6
685,2
686,0
687,3
688,7
689,20
690,1
691,28
692,25
693,6
694,0
695,5
696,4
697,15
698,2
699,2
700,5
701,4
702,7
703,1
704,10
705,24
706,5
707,23
708,1
709,3
710,4
711,7
712,3
713,15
714,6
715,2
716,16
717,10
718,0
719,6
720,12
721,10
722,3
723,9
724,2
725,5
726,0
727,0
728,1
729,5
730,13
731,15
732,2
733,21
734,2
735,1
736,6
737,16
