,0
0,22
1,2
2,16
3,0
4,0
5,29
6,2
7,4
8,3
9,4
10,0
11,0
12,14
13,155
14,3
15,23
16,1
17,16
18,1
19,25
20,102
21,9
22,39
23,9
24,0
25,4
26,1
27,8
28,3
29,6
30,1
31,4
32,2
33,1
34,1
35,26
36,8
37,0
38,3
39,9
40,26
41,4
42,30
43,17
44,13
45,18
46,21
47,7
48,0
49,2
50,17
51,10
52,12
53,23
54,2
55,12
56,0
57,3
58,0
59,3
60,0
61,11
62,3
63,22
64,0
65,3
66,0
67,5
68,40
69,3
70,1
71,3
72,4
73,7
74,2
75,18
76,2
77,4
78,1
79,3
80,4
81,2
82,2
83,4
84,4
85,0
86,7
87,21
88,1
89,2
90,0
91,4
92,4
93,6
94,5
95,10
96,2
97,16
98,3
99,0
100,1
101,0
102,3
103,15
104,42
105,7
106,2
107,48
108,2
109,12
110,2
111,1
112,2
113,0
114,4
115,2
116,123
117,5
118,6
119,20
120,4
121,53
122,4
123,2
124,15
125,9
126,1
127,78
128,13
129,8
130,1
131,1
132,12
133,8
134,2
135,0
136,94
137,2
138,5
139,11
140,9
141,4
142,18
143,23
144,215
145,391
146,0
147,2
148,7
149,9
150,1
151,5
152,0
153,35
154,6
155,3
156,8
157,4
158,72
159,0
160,12
161,5
162,18
163,21
164,6
165,5
166,1
167,35
168,2
169,4
170,7
171,18
172,6
173,2
174,8
175,15
176,0
177,14
178,2
179,12
180,12
181,1
182,4
183,24
184,14
185,17
186,3
187,5
188,14
189,11
190,18
191,6
192,6
193,129
194,6
195,4
196,47
197,2
198,4
199,5
200,17
201,1
202,2
203,9
204,15
205,0
206,9
207,1
208,0
209,2
210,89
211,94
212,8
213,12
214,23
215,27
216,0
217,4
218,31
219,1
220,3
221,34
222,10
223,47
224,11
225,8
226,1
227,4
228,23
229,196
230,1
231,1
232,24
233,13
234,2
235,28
236,5
237,1
238,1
239,1
240,2
241,13
242,15
243,18
244,9
245,12
246,48
247,35
248,1
249,10
250,0
251,5
252,0
253,12
254,14
255,5
256,3
257,20
258,5
259,24
260,8
261,4
262,0
263,9
264,9
265,4
266,1
267,3
268,46
269,16
270,23
271,1
272,106
273,11
274,0
275,4
276,0
277,9
278,16
279,23
280,11
281,9
282,30
283,21
284,11
285,4
286,65
287,1
288,10
289,19
290,0
291,26
292,28
293,5
294,5
295,1
296,7
297,58
298,0
299,5
300,5
301,16
302,11
303,392
304,5
305,44
306,0
307,2
308,4
309,6
310,12
311,8
312,0
313,2
314,99
315,1
316,4
317,4
318,4
319,131
320,40
321,0
322,4
323,1
324,5
325,4
326,1
327,0
328,1
329,3
330,10
331,3
332,0
333,8
334,7
335,57
336,38
337,5
338,5
339,23
340,5
341,34
342,69
343,8
344,3
345,16
346,15
347,24
348,3
349,26
350,2
351,0
352,11
353,2
354,38
355,13
356,180
357,22
358,22
359,28
360,11
361,4
362,147
363,0
364,16
365,16
366,8
367,39
368,0
369,0
370,2
371,2
372,12
373,29
374,7
375,85
376,16
377,9
378,56
379,22
380,13
381,5
382,0
383,210
384,12
385,42
386,1
387,8
388,0
389,13
390,1
391,4
392,5
393,0
394,1
395,69
396,9
397,2
398,8
399,5
400,99
401,2
402,3
403,48
404,7
405,3
406,10
407,2
408,10
409,3
410,15
411,9
412,4
413,99
414,1
415,168
416,14
417,165
418,0
419,12
420,1
421,7
422,11
423,20
424,5
425,2
426,5
427,16
428,1
429,15
430,2
431,22
432,4
433,0
434,6
435,18
436,9
437,66
438,26
439,6
440,12
441,8
442,14
443,31
444,77
445,5
446,1
447,5
448,1
449,10
450,2
451,2
452,28
453,30
454,55
455,8
456,34
457,2
458,4
459,8
460,2
461,1
462,1
463,35
464,11
465,18
466,25
467,36
468,193
469,56
470,15
471,17
472,0
473,16
474,0
475,7
476,2
477,6
478,0
479,0
480,24
481,8
482,4
483,31
484,8
485,80
486,26
487,21
488,14
489,9
490,6
491,7
492,15
493,18
494,26
495,9
496,4
497,1
498,33
499,5
500,14
501,10
502,3
503,45
504,19
505,0
506,2
507,21
508,4
509,31
510,1
511,11
512,3
513,0
514,5
515,1
516,1
517,14
518,8
519,5
520,2
521,0
522,4
523,12
524,20
525,3
526,10
527,0
528,26
529,1
530,6
531,58
532,4
533,14
534,3
535,7
536,4
537,2
538,15
539,13
540,21
541,817
542,382
543,30
544,24
545,24
546,11
547,19
548,66
549,3
550,9
551,5
552,8
553,0
554,31
555,4
556,7
557,2
558,7
559,22
560,33
561,26
562,13
563,47
564,50
565,18
566,1
567,1
568,5
569,56
570,2
571,7
572,4
573,4
574,2
575,3
576,35
577,10
578,100
579,0
580,6
581,20
582,87
583,26
584,114
585,9
586,4
587,7
588,3
589,8
590,16
591,11
592,5
593,27
594,2
595,10
596,14
597,14
598,19
599,1
600,14
601,9
602,0
603,1
604,6
605,3
606,2
607,7
608,10
609,6
610,33
611,13
612,29
613,72
614,30
615,30
616,13
617,0
618,3
619,10
620,11
621,16
622,10
623,11
624,11
625,1
626,8
627,5
628,10
629,11
630,5
631,2
632,4
633,6
634,12
635,5
636,17
637,30
638,1
639,1
640,2
641,21
642,3
643,23
644,4
645,43
646,163
647,54
648,58
649,12
650,11
651,0
652,49
653,8
654,3
655,2
656,73
657,10
658,14
659,2
660,7
661,3
662,6
663,4
664,20
665,5
666,6
667,7
668,3
669,30
670,1
671,4
672,26
673,90
674,82
675,25
676,18
677,6
678,18
679,7
680,8
681,17
682,0
683,2
684,8
685,6
686,0
687,12
688,10
689,38
690,3
691,78
692,46
693,7
694,1
695,16
696,8
697,20
698,3
699,4
700,18
701,23
702,13
703,1
704,17
705,43
706,24
707,34
708,1
709,3
710,6
711,14
712,11
713,35
714,10
715,2
716,16
717,15
718,0
719,17
720,30
721,32
722,3
723,28
724,3
725,6
726,3
727,10
728,26
729,7
730,15
731,23
732,3
733,99
734,3
735,4
736,10
737,19
738,38
739,12
740,38
741,60
742,10
743,63
744,33
745,55
746,10
747,44
748,94
749,24
750,10
751,5
752,12
753,3
754,7
755,5
756,24
757,8
758,93
759,59
760,8
761,10
762,8
763,7
764,2
765,6
766,5
767,5
768,13
769,7
770,12
771,2
772,3
773,9
774,1
775,2
776,3
777,18
778,0
779,28
780,11
781,11
782,14
783,12
784,0
785,27
786,16
787,2
788,24
789,1
790,62
791,72
792,156
793,21
794,6
795,2
796,5
797,4
798,1
799,52
800,4
801,74
802,3
803,167
804,31
805,16
806,4
807,2
808,3
809,175
810,13
811,117
812,4
813,0
814,3
815,611
816,4
817,10
818,7
819,2
820,26
821,4
822,2
823,10
824,3
825,6
826,4
827,7
828,34
829,7
830,10
831,13
832,13
833,9
834,1
835,1
836,18
837,334
838,4
839,36
840,1
841,0
842,71
843,34
844,2
845,727
846,29
847,25
848,26
849,3
850,28
851,7
852,14
853,4
854,1
855,1
856,15
857,1
858,15
859,9
860,21
861,9
862,35
863,21
864,20
865,24
866,20
867,49
868,22
869,22
870,9
871,10
872,18
873,11
874,20
875,5
876,10
877,1
878,7
879,24
880,21
881,31
882,10
883,17
884,10
885,10
886,10
887,1
888,8
889,34
890,40
891,46
892,66
893,0
894,7
895,36
896,2
897,21
898,12
899,77
900,1
901,17
902,29
903,32
904,14
905,1
906,9
907,115
908,2
909,18
910,2
911,16
912,23
913,10
914,26
915,185
916,13
917,42
918,22
919,14
920,2
921,4
922,19
923,93
924,36
925,7
926,93
927,8
928,7
929,7
930,72
931,168
932,3
933,15
934,3
935,5
936,6
937,73
938,21
939,34
940,12
941,5
942,108
943,6
944,5
945,19
946,3
947,0
948,27
949,44
950,31
951,13
952,6
953,1
954,8
955,19
956,19
957,29
958,79
959,22
960,51
961,51
962,18
963,7
964,9
965,5
966,108
967,272
968,16
969,31
970,3
971,17
972,2
973,21
974,8
975,29
976,8
977,40
978,18
979,9
980,4
981,3
982,25
983,2
984,1
985,7
986,35
987,31
988,125
989,3
990,17
991,28
992,10
993,23
994,13
995,5
996,6
997,12
998,7
999,4
1000,1
1001,7
1002,64
1003,16
1004,6
1005,21
1006,41
1007,13
1008,2
1009,4
1010,7
1011,11
1012,72
1013,52
1014,3
1015,10
1016,15
1017,75
1018,25
1019,6
1020,41
1021,22
1022,0
1023,7
1024,4
1025,1
1026,6
1027,18
1028,17
1029,63
1030,2
1031,264
1032,10
1033,9
1034,12
1035,104
1036,19
1037,0
1038,7
1039,6
1040,3
1041,57
1042,2
1043,6
1044,23
1045,6
1046,7
1047,4
1048,13
1049,19
1050,362
1051,6
1052,140
1053,15
1054,13
1055,0
1056,3
1057,9
1058,107
1059,13
1060,76
1061,13
1062,78
1063,5
1064,34
1065,11
1066,971
1067,21
1068,4
1069,611
1070,9
1071,20
1072,0
1073,1
1074,11
1075,115
1076,9
1077,46
1078,2
1079,6
1080,8
1081,4
1082,7
1083,5
1084,18
1085,46
1086,1
1087,23
1088,21
1089,8
1090,5
1091,81
1092,3
1093,38
1094,11
1095,4
1096,78
1097,25
1098,18
1099,49
1100,1
1101,14
1102,23
1103,40
1104,5
1105,2
1106,158
1107,4
1108,248
1109,32
1110,35
1111,26
1112,10
1113,20
1114,141
1115,238
1116,25
1117,286
1118,19
1119,4
1120,52
1121,7
1122,21
1123,4
1124,94
1125,7
1126,5
1127,17
1128,25
1129,5
1130,1
1131,38
1132,0
1133,57
1134,12
1135,9
1136,1
1137,11
1138,0
1139,2
1140,3
1141,35
1142,149
1143,7
1144,1
1145,5
1146,19
1147,6
1148,80
1149,8
1150,10
1151,28
1152,64
1153,17
1154,4
1155,2
1156,8
1157,18
1158,5
1159,7
1160,4
1161,20
1162,40
1163,42
1164,36
1165,16
1166,45
1167,177
1168,5
1169,3
1170,25
1171,1
1172,6
1173,3
1174,18
1175,59
1176,25
1177,52
1178,1
1179,27
1180,1
1181,19
1182,3
1183,77
1184,25
1185,2
1186,1
1187,17
1188,9
1189,5
1190,0
1191,0
1192,4
1193,5
1194,21
1195,36
1196,7
1197,16
1198,12
1199,28
1200,22
1201,31
1202,14
1203,8
1204,8
1205,4
1206,26
1207,89
1208,16
1209,68
1210,5
1211,11
1212,18
1213,4
1214,7
1215,1
1216,14
1217,10
1218,17
1219,4
1220,94
1221,13
1222,5
1223,14
1224,14
1225,22
1226,2
1227,99
1228,24
1229,57
1230,5
1231,1
1232,3
1233,51
1234,33
1235,47
1236,9
1237,11
1238,46
1239,8
1240,13
1241,9
1242,8
1243,8
1244,1
1245,33
1246,64
1247,157
1248,2
1249,17
1250,2
1251,6
1252,9
1253,8
1254,18
1255,19
1256,16
1257,11
1258,40
1259,4
1260,1
1261,19
1262,960
1263,14
1264,11
1265,107
1266,31
1267,2
1268,0
1269,32
1270,18
1271,13
1272,0
1273,17
1274,71
1275,12
1276,3
1277,5
1278,1
1279,3
1280,6
1281,4
1282,12
1283,2
1284,9
1285,13
1286,3
1287,57
1288,7
1289,16
1290,56
1291,18
1292,199
1293,5
1294,68
1295,9
1296,70
1297,38
1298,5
1299,15
1300,69
1301,9
1302,23
1303,37
1304,51
1305,169
1306,77
1307,0
1308,4
1309,1
1310,20
1311,0
1312,7
1313,12
1314,26
1315,3
1316,59
1317,1
1318,10
1319,16
1320,12
1321,20
1322,0
1323,29
1324,24
1325,4
1326,4
1327,16
1328,44
1329,36
1330,2
1331,6
1332,79
1333,55
1334,8
1335,70
1336,30
1337,5
1338,18
1339,6
1340,348
1341,110
1342,8
1343,39
1344,28
1345,0
1346,62
1347,17
1348,0
1349,14
1350,63
1351,40
1352,37
1353,24
1354,0
1355,2
1356,89
1357,25
1358,61
1359,23
1360,299
1361,21
1362,78
1363,23
1364,30
1365,1
1366,99
1367,9
1368,0
1369,5
1370,7
1371,30
1372,12
1373,20
1374,6
1375,153
1376,54
1377,45
1378,12
1379,9
1380,7
1381,27
1382,3
1383,5
1384,26
1385,44
1386,17
1387,40
1388,8
1389,14
1390,6
1391,29
1392,25
1393,32
1394,6
1395,88
1396,3
1397,19
1398,2
1399,11
1400,24
1401,42
1402,2
1403,6
1404,23
1405,10
1406,35
1407,1
1408,8
1409,24
1410,8
1411,13
1412,3
1413,6
1414,22
1415,25
1416,4
1417,13
1418,13
1419,14
1420,33
1421,23
1422,10
1423,2
1424,85
1425,47
1426,32
1427,0
1428,18
1429,4
1430,13
1431,38
1432,9
1433,9
1434,73
1435,27
1436,19
1437,56
1438,5
1439,14
1440,2
1441,46
1442,33
1443,3
1444,19
1445,17
1446,5
1447,13
1448,17
1449,25
1450,8
1451,105
1452,51
1453,52
1454,122
1455,9
1456,134
1457,58
1458,64
1459,8
1460,9
1461,17
1462,35
1463,1
1464,1
1465,27
1466,20
1467,6
1468,10
1469,31
1470,11
1471,43
1472,34
1473,0
1474,5
1475,49
1476,68
1477,100
1478,45
1479,100
1480,76
1481,9
1482,10
1483,18
1484,28
1485,26
1486,8
1487,14
1488,4
1489,12
1490,19
1491,4
1492,8
1493,17
1494,41
1495,99
1496,26
1497,127
1498,23
1499,13
1500,0
1501,18
1502,11
1503,23
1504,69
1505,257
1506,46
1507,15
1508,31
1509,21
1510,19
1511,25
1512,272
1513,122
1514,1
1515,277
1516,43
1517,16
1518,23
1519,23
1520,217
1521,23
1522,8
1523,97
1524,5
1525,42
1526,16
1527,38
1528,113
1529,15
1530,4
1531,4
1532,4
1533,16
1534,135
1535,1
1536,0
1537,15
1538,114
1539,4
1540,12
1541,22
1542,72
1543,7
1544,16
1545,4
1546,32
1547,16
1548,33
1549,114
1550,93
1551,44
1552,6
1553,27
1554,34
1555,55
1556,264
1557,21
1558,25
1559,8
1560,67
1561,7
1562,38
1563,16
1564,2
1565,14
1566,17
1567,15
1568,25
1569,2
1570,121
1571,21
1572,46
1573,29
1574,74
1575,15
1576,11
1577,0
1578,4
1579,5
1580,53
1581,28
1582,52
1583,15
1584,51
1585,3
1586,35
1587,118
1588,78
1589,36
1590,27
1591,34
1592,12
1593,22
1594,27
1595,4
1596,17
1597,94
1598,41
1599,7
1600,3
1601,6
1602,4
1603,8
1604,20
1605,24
1606,103
1607,3
1608,14
1609,166
1610,3
1611,6
1612,0
1613,23
1614,126
1615,4
1616,18
1617,10
1618,19
1619,40
1620,7
1621,5
1622,15
1623,17
1624,30
1625,19
1626,20
1627,32
1628,15
1629,16
1630,30
1631,19
1632,36
1633,17
1634,104
1635,8
1636,53
1637,16
1638,28
1639,42
1640,1
1641,4
1642,348
1643,394
1644,38
1645,9
1646,13
1647,6
1648,2
1649,12
1650,69
1651,55
1652,64
1653,10
1654,12
1655,44
1656,20
1657,8
1658,3
1659,14
1660,4
1661,20
1662,31
1663,3
1664,29
1665,0
1666,113
1667,40
1668,11
1669,19
1670,11
1671,12
1672,107
1673,53
1674,7
1675,1
1676,6
1677,9
1678,2
1679,4
1680,3
1681,13
1682,69
1683,292
1684,21
1685,15
1686,70
1687,9
1688,10
1689,6
1690,23
1691,143
1692,95
1693,83
1694,1
1695,8
1696,37
1697,8
1698,9
1699,16
1700,18
1701,22
1702,21
1703,36
1704,10
1705,2
1706,30
1707,58
1708,141
1709,1
1710,5
1711,21
1712,7
1713,125
1714,42
1715,12
1716,13
1717,7
1718,56
1719,4
1720,3
1721,20
1722,11
1723,52
1724,149
1725,28
1726,36
1727,8
1728,0
1729,92
1730,8
1731,18
1732,4
1733,340
1734,27
1735,26
1736,3
1737,187
1738,31
1739,8
1740,7
1741,63
1742,3
1743,20
1744,79
1745,21
1746,30
1747,17
1748,28
1749,31
1750,14
1751,11
1752,53
1753,24
1754,35
1755,11
1756,13
1757,248
1758,34
1759,11
1760,47
1761,5
1762,13
1763,4
1764,12
1765,597
1766,233
1767,22
1768,11
1769,15
1770,20
1771,21
1772,26
1773,49
1774,21
1775,10
1776,5
1777,8
1778,9
1779,26
1780,2
1781,78
1782,30
1783,53
1784,4
1785,8
1786,79
1787,14
1788,57
1789,10
1790,17
1791,9
1792,77
1793,2
1794,5
1795,4
1796,18
1797,12
1798,15
1799,30
1800,252
1801,6
1802,20
1803,41
1804,57
1805,1
1806,63
1807,43
1808,16
1809,41
1810,50
1811,5
1812,55
1813,0
1814,9
1815,4
1816,18
1817,83
1818,34
1819,37
1820,40
1821,16
1822,15
1823,7
1824,31
1825,665
1826,10
1827,147
1828,25
1829,15
1830,55
1831,22
1832,24
1833,1
1834,9
1835,160
1836,659
1837,64
1838,15
1839,35
1840,4
1841,429
1842,23
1843,16
1844,22
1845,37
1846,38
1847,14
1848,29
1849,16
1850,142
1851,4
1852,23
1853,34
1854,2
1855,77
1856,14
1857,13
1858,21
1859,9
1860,4
1861,169
1862,6
1863,12
1864,16
1865,3
1866,13
1867,6
1868,134
1869,30
1870,220
1871,16
1872,7
1873,38
1874,13
1875,16
1876,40
1877,37
1878,7
1879,30
1880,27
1881,27
1882,6
1883,2
1884,7
1885,20
1886,68
1887,25
1888,54
1889,40
1890,44
1891,5
1892,11
1893,20
1894,3
1895,17
1896,11
1897,17
1898,15
1899,47
1900,1
1901,153
1902,58
1903,29
1904,26
1905,6
1906,90
1907,52
1908,80
1909,14
1910,237
1911,36
1912,15
1913,19
1914,10
1915,21
1916,13
1917,29
1918,15
1919,43
1920,237
1921,6
1922,4
1923,20
1924,2345
1925,3
1926,0
1927,18
1928,29
1929,33
1930,26
1931,19
1932,6
1933,13
1934,33
1935,22
1936,12
1937,18
1938,23
1939,23
1940,34
1941,6
1942,1
1943,2
1944,465
1945,207
1946,5
1947,6
1948,59
1949,51
1950,7
1951,4
1952,12
1953,76
1954,7
1955,11
1956,29
1957,53
1958,14
1959,72
1960,2
1961,15
1962,36
1963,83
1964,80
1965,9
1966,14
1967,25
1968,12
1969,46
1970,87
1971,95
1972,59
1973,6
1974,10
1975,9
1976,17
1977,164
1978,25
1979,21
1980,11
1981,77
1982,144
1983,21
1984,12
1985,19
1986,31
1987,16
1988,26
1989,13
1990,10
1991,25
1992,43
1993,19
1994,15
1995,9
1996,15
1997,78
1998,39
1999,17
2000,32
2001,21
2002,3
2003,11
2004,20
2005,35
2006,32
2007,17
2008,21
2009,2
2010,8
2011,5
2012,55
2013,18
2014,9
2015,43
2016,19
2017,57
2018,13
2019,26
2020,17
2021,15
2022,340
2023,24
2024,29
2025,5
2026,39
2027,2
2028,69
2029,23
2030,85
2031,52
2032,103
2033,11
2034,36
2035,204
2036,8
2037,4
2038,4
2039,38
2040,13
2041,52
2042,64
2043,42
2044,8
2045,79
2046,57
2047,346
2048,3
2049,24
2050,1
2051,11
2052,79
2053,10
2054,11
2055,95
2056,25
2057,53
2058,42
2059,162
2060,68
