,0
0,12
1,0
2,7
3,0
4,0
5,12
6,1
7,0
8,1
9,1
10,0
11,0
12,10
13,60
14,0
15,12
16,0
17,3
18,1
19,13
20,80
21,1
22,10
23,0
24,0
25,0
26,0
27,2
28,0
29,1
30,0
31,0
32,0
33,0
34,0
35,5
36,2
37,0
38,1
39,6
40,13
41,0
42,8
43,7
44,6
45,13
46,8
47,1
48,0
49,1
50,17
51,5
52,8
53,19
54,1
55,11
56,0
57,1
58,0
59,1
60,0
61,3
62,1
63,8
64,0
65,0
66,0
67,0
68,23
69,0
70,1
71,0
72,0
73,6
74,0
75,3
76,0
77,2
78,0
79,1
80,3
81,1
82,1
83,2
84,2
85,0
86,1
87,18
88,0
89,0
90,0
91,0
92,0
93,2
94,2
95,4
96,1
97,4
98,2
99,0
100,0
101,0
102,1
103,8
104,29
105,0
106,1
107,15
108,0
109,0
110,1
111,1
112,0
113,0
114,1
115,0
116,100
117,0
118,4
119,10
120,2
121,27
122,1
123,1
124,0
125,8
126,0
127,7
128,2
129,3
130,0
131,0
132,2
133,2
134,1
135,0
136,93
137,0
138,3
139,3
140,9
141,2
142,8
143,8
144,18
145,185
146,0
147,1
148,4
149,0
150,1
151,2
152,0
153,31
154,3
155,1
156,1
157,2
158,32
159,0
160,3
161,1
162,17
163,16
164,0
165,1
166,0
167,5
168,1
169,3
170,2
171,5
172,0
173,1
174,4
175,13
176,0
177,9
178,2
179,8
180,10
181,0
182,2
183,4
184,1
185,1
186,1
187,4
188,6
189,7
190,4
191,2
192,4
193,2
194,0
195,1
196,20
197,1
198,3
199,4
200,9
201,0
202,1
203,3
204,7
205,0
206,7
207,0
208,0
209,2
210,46
211,32
212,2
213,4
214,13
215,14
216,0
217,2
218,15
219,0
220,0
221,17
222,7
223,18
224,5
225,5
226,0
227,1
228,2
229,60
230,1
231,0
232,4
233,6
234,0
235,15
236,5
237,1
238,0
239,0
240,0
241,4
242,4
243,1
244,3
245,1
246,30
247,13
248,1
249,5
250,0
251,2
252,0
253,7
254,10
255,3
256,1
257,5
258,3
259,4
260,0
261,2
262,0
263,0
264,3
265,2
266,0
267,0
268,3
269,11
270,8
271,1
272,60
273,5
274,0
275,2
276,0
277,4
278,8
279,14
280,2
281,3
282,28
283,8
284,1
285,1
286,25
287,0
288,4
289,16
290,0
291,6
292,2
293,1
294,4
295,1
296,5
297,52
298,0
299,3
300,3
301,9
302,0
303,1
304,0
305,17
306,0
307,1
308,3
309,2
310,8
311,4
312,0
313,0
314,39
315,0
316,2
317,2
318,1
319,46
320,3
321,0
322,0
323,0
324,1
325,4
326,0
327,0
328,0
329,1
330,5
331,3
332,0
333,7
334,5
335,18
336,11
337,2
338,4
339,7
340,3
341,9
342,16
343,3
344,1
345,8
346,8
347,9
348,2
349,3
350,0
351,0
352,5
353,0
354,16
355,5
356,155
357,10
358,9
359,15
360,6
361,2
362,59
363,0
364,10
365,11
366,6
367,12
368,0
369,0
370,1
371,1
372,11
373,9
374,2
375,39
376,6
377,4
378,25
379,4
380,4
381,2
382,0
383,15
384,7
385,0
386,0
387,5
388,0
389,12
390,0
391,3
392,0
393,0
394,0
395,9
396,4
397,1
398,3
399,1
400,48
401,0
402,1
403,9
404,1
405,1
406,4
407,0
408,8
409,1
410,14
411,4
412,1
413,37
414,0
415,120
416,10
417,77
418,0
419,6
420,0
421,3
422,3
423,6
424,1
425,0
426,2
427,4
428,1
429,8
430,1
431,12
432,4
433,0
434,3
435,12
436,0
437,44
438,6
439,4
440,1
441,4
442,13
443,13
444,15
445,1
446,1
447,0
448,0
449,7
450,1
451,0
452,16
453,8
454,16
455,5
456,13
457,0
458,2
459,4
460,0
461,0
462,1
463,15
464,3
465,15
466,7
467,6
468,83
469,52
470,6
471,6
472,0
473,14
474,0
475,4
476,1
477,3
478,0
479,0
480,21
481,7
482,0
483,11
484,8
485,31
486,7
487,10
488,1
489,4
490,2
491,2
492,13
493,10
494,20
495,0
496,0
497,0
498,2
499,1
500,7
501,1
502,2
503,8
504,11
505,0
506,2
507,6
508,0
509,21
510,1
511,0
512,2
513,0
514,1
515,0
516,0
517,4
518,1
519,2
520,2
521,0
522,1
523,0
524,6
525,1
526,4
527,0
528,6
529,1
530,1
531,24
532,1
533,3
534,0
535,4
536,3
537,0
538,7
539,6
540,14
541,134
542,26
543,12
544,4
545,12
546,4
547,4
548,31
549,0
550,7
551,2
552,0
553,0
554,2
555,1
556,4
557,0
558,2
559,7
560,15
561,16
562,8
563,18
564,22
565,3
566,0
567,0
568,4
569,19
570,0
571,2
572,1
573,1
574,1
575,1
576,21
577,5
578,36
579,0
580,4
581,10
582,78
583,14
584,38
585,1
586,0
587,0
588,1
589,1
590,3
591,10
592,2
593,22
594,1
595,4
596,6
597,9
598,2
599,0
600,8
601,6
602,0
603,0
604,4
605,1
606,1
607,5
608,5
609,3
610,20
611,4
612,10
613,26
614,15
615,12
616,4
617,0
618,2
619,4
620,4
621,4
622,3
623,1
624,2
625,1
626,6
627,1
628,0
629,6
630,3
631,1
632,1
633,2
634,4
635,3
636,9
637,25
638,0
639,1
640,2
641,17
642,2
643,17
644,1
645,9
646,62
647,12
648,14
649,11
650,9
651,0
652,11
653,7
654,2
655,2
656,30
657,7
658,2
659,1
660,4
661,2
662,1
663,1
664,6
665,3
666,3
667,0
668,1
669,23
670,0
671,1
672,14
673,36
674,16
675,4
676,2
677,4
678,0
679,5
680,2
681,5
682,0
683,0
684,2
685,4
686,0
687,9
688,3
689,18
690,2
691,50
692,21
693,1
694,1
695,11
696,4
697,5
698,1
699,2
700,13
701,19
702,6
703,0
704,7
705,19
706,19
707,11
708,0
709,0
710,2
711,7
712,8
713,20
714,4
715,0
716,0
717,5
718,0
719,11
720,18
721,22
722,0
723,19
724,1
725,1
726,3
727,10
728,25
729,2
730,2
731,8
732,1
733,78
734,1
735,3
736,4
737,3
738,11
739,5
740,5
741,27
742,5
743,58
744,18
745,47
746,4
747,36
748,46
749,19
750,3
751,0
752,8
753,1
754,3
755,3
756,16
757,1
758,20
759,13
760,4
761,9
762,1
763,3
764,0
765,2
766,2
767,2
768,6
769,3
770,7
771,0
772,0
773,4
774,1
775,2
