,user_id,moyenne_notes
0,1191,9.0
1,2109,8.0
2,2473,9.0
3,2981,6.0
4,3387,9.0
5,3591,5.0
6,3719,6.0
7,3918,8.0
8,4615,10.0
9,4746,2.0
10,4786,6.0
11,5392,6.0
12,6916,5.0
13,7030,8.0
14,7241,8.0
15,7242,1.0
16,7424,8.0
17,8061,9.0
18,8251,9.0
19,9070,10.0
20,9203,10.0
21,9467,6.0
22,10733,1.0
23,11003,3.0
24,11044,4.0
25,11379,3.0
26,11436,1.0
27,11569,2.0
28,12014,1.0
29,12218,5.0
30,12442,9.0
31,12658,7.0
32,12754,8.0
33,13134,10.0
34,13893,8.0
35,16420,9.0
36,18388,8.0
37,19294,8.0
38,19493,9.0
39,19557,9.0
40,19569,10.0
41,19810,10.0
42,20195,1.0
43,20406,10.0
44,20637,1.0
45,20995,10.0
46,21573,4.0
47,22259,9.0
48,22394,10.0
49,22414,6.0
50,22740,9.0
51,22814,8.0
52,22862,10.0
53,23153,10.0
54,23304,3.0
55,23334,7.0
56,23473,8.0
57,23583,9.0
58,23924,7.0
59,24780,10.0
60,24855,10.0
61,25447,6.0
62,25639,3.0
63,25687,9.0
64,25709,8.0
65,25904,10.0
66,25967,9.0
67,26568,8.0
68,26594,8.0
69,26672,10.0
70,26918,10.0
71,27021,9.0
72,27041,9.0
73,27315,8.0
74,27555,1.0
75,27618,1.0
76,28113,9.0
77,28132,9.0
78,28293,5.0
79,28297,8.0
80,28302,9.0
81,28587,8.0
82,28688,1.0
83,29057,8.0
84,29173,10.0
85,29184,10.0
86,29287,6.0
87,29310,10.0
88,29441,9.0
89,29465,8.0
90,29540,8.0
91,29805,9.0
92,30023,8.0
93,30083,5.0
94,30533,1.0
95,30560,10.0
96,30837,10.0
97,30926,10.0
98,30932,10.0
99,31185,10.0
100,31354,6.0
101,31378,9.0
102,31447,9.0
103,31455,4.0
104,31528,9.0
105,31567,2.0
106,31704,7.0
107,31839,10.0
108,31952,9.0
109,32014,10.0
110,32091,3.0
111,32097,8.0
112,32149,1.0
113,32498,5.0
114,32530,5.0
115,32773,8.0
116,32781,10.0
117,32800,7.0
118,32855,10.0
119,33038,5.0
120,33046,9.0
121,33070,8.0
122,33268,8.0
123,33502,7.0
124,33666,5.0
125,33858,10.0
126,33971,5.0
127,34322,6.0
128,34516,7.0
129,34986,10.0
130,34991,9.0
131,35062,8.0
132,35403,9.0
133,35495,8.0
134,35595,4.0
135,35613,9.0
136,35619,9.0
137,35814,9.0
138,35815,10.0
139,35816,8.0
140,35969,9.0
141,35970,6.0
142,36029,1.0
143,36143,10.0
144,36158,10.0
145,36228,1.0
146,36232,10.0
147,36287,10.0
148,36370,8.0
149,36377,10.0
150,36439,7.0
151,36556,7.0
152,36651,3.0
153,37085,8.0
154,37130,7.0
155,37259,1.0
156,37704,8.0
157,37726,2.0
158,37817,4.0
159,38131,6.0
160,38186,10.0
161,38336,10.0
162,38342,10.0
163,38353,10.0
164,38362,10.0
165,38371,10.0
166,38375,10.0
167,38376,10.0
168,38410,10.0
169,38594,5.0
170,38597,4.0
171,38659,10.0
172,38710,5.0
173,38765,10.0
174,38846,3.0
175,38866,10.0
176,38874,10.0
177,38926,10.0
178,39016,5.0
179,39067,7.0
180,39131,9.0
181,39246,9.0
182,39449,1.0
183,39453,5.0
184,39591,10.0
185,39593,2.0
186,39606,8.0
187,39632,10.0
188,39688,10.0
189,39713,9.0
190,39837,10.0
191,39840,5.0
192,39947,9.0
193,40009,9.0
194,40258,9.0
195,40272,8.0
196,40393,10.0
197,40428,8.0
198,40435,5.0
199,40496,7.0
200,40503,6.0
201,40556,9.0
202,40623,8.0
203,40661,9.0
204,40733,7.0
205,40761,8.0
206,40818,10.0
207,40859,1.0
208,40870,8.0
209,40891,10.0
210,40911,9.0
211,40954,10.0
212,41136,10.0
213,41314,1.0
214,41324,10.0
215,41348,9.0
216,41421,9.0
217,41469,6.0
218,41517,9.0
219,41524,10.0
220,41578,8.0
221,41623,10.0
222,41708,9.0
223,41820,8.0
224,42187,1.0
225,42263,9.0
226,42672,9.0
227,42780,8.0
228,42810,10.0
229,42891,5.0
230,42913,8.0
231,42927,9.0
232,42985,4.0
233,43208,4.0
234,43213,8.0
235,43382,5.0
236,43512,10.0
237,43649,8.0
238,43747,9.0
239,43751,3.0
240,43996,3.0
241,44001,10.0
242,44011,1.0
243,44068,9.0
244,44101,9.0
245,44119,5.0
246,44336,9.0
247,44348,7.0
248,44371,4.0
249,44579,10.0
250,44673,10.0
251,44674,9.0
252,44675,10.0
253,44680,10.0
254,44683,3.0
255,44856,10.0
256,45229,
257,45272,10.0
258,45303,10.0
259,45366,6.0
260,45376,9.0
261,45413,7.0
262,45426,9.0
263,45491,4.0
264,45576,9.0
265,45850,9.0
266,45854,10.0
267,45911,7.0
268,45931,7.0
269,45943,8.0
270,45973,6.0
271,45998,2.0
272,46006,10.0
273,46057,9.0
274,46070,9.0
275,46085,7.0
276,46143,10.0
277,46149,9.0
278,46410,7.0
279,46411,10.0
280,46414,10.0
281,46438,10.0
282,46442,9.0
283,46452,10.0
284,46469,8.0
285,46477,9.0
286,46487,10.0
287,46489,10.0
288,46498,10.0
289,46527,4.0
290,46703,8.0
291,46833,7.0
292,46882,7.0
293,47016,10.0
294,47111,10.0
295,47140,8.0
296,47243,7.0
297,47264,8.0
298,47357,10.0
299,47502,10.0
300,47519,10.0
301,47576,9.0
302,47758,10.0
303,47781,7.0
304,47786,8.0
305,47798,8.0
306,47907,3.0
307,48071,8.0
308,48271,9.0
309,48402,6.0
310,48640,10.0
311,48797,7.0
312,48808,8.0
313,48865,10.0
314,48892,8.0
315,49117,10.0
316,49213,10.0
317,49289,5.0
318,49301,10.0
319,49302,9.0
320,49358,10.0
321,49390,10.0
322,49562,6.0
